"bioguide_id","gender","type","party","facebook","nominate_dim1","state_abbrev","district_code"
"S000510","M","rep","Democrat","RepAdamSmith",-0.284,"WA",9
"S000522","M","rep","Republican","RepChrisSmith",0.161,"NJ",4
"S000583","M","rep","Republican","LamarSmithTX21",0.425,"TX",21
"S000770","F","sen","Democrat",NA,-0.331,"MI",0
"S001141","M","sen","Republican","jeffsessions",0.549,"AL",0
"S001145","F","rep","Democrat","janschakowsky",-0.607,"IL",9
"S001148","M","rep","Republican","96007744606",0.293,"ID",2
"S001150","M","rep","Democrat","RepAdamSchiff",-0.348,"CA",28
"S001154","M","rep","Republican","Rep.Shuster",0.374,"PA",9
"S001156","F","rep","Democrat","CongresswomanLindaSanchez",-0.508,"CA",38
"S001157","M","rep","Democrat","113303673339",-0.301,"GA",13
"S001165","M","rep","Democrat","81058818750",-0.404,"NJ",8
"S001168","M","rep","Democrat","RepSarbanes",-0.469,"MD",3
"S001172","M","rep","Republican",NA,0.51,"NE",3
"S001175","F","rep","Democrat","JackieSpeier",-0.383,"CA",14
"S001176","M","rep","Republican","RepSteveScalise",0.56,"LA",1
"S001180","M","rep","Democrat","repschrader",-0.193,"OR",5
"S001181","F","sen","Democrat","SenatorShaheen",-0.251,"NH",0
"S001183","M","rep","Republican","repdavidschweikert",0.632,"AZ",6
"S001184","M","sen","Republican","SenatorTimScott",0.653,"SC",0
"S001185","F","rep","Democrat","RepSewell",-0.39,"AL",7
"S001187","M","rep","Republican","116058275133542",0.299,"OH",15
"S001188","M","rep","Republican","CongressmanMarlinStutzman",0.742,"IN",3
"S001189","M","rep","Republican","RepAustinScott",0.571,"GA",8
"S001191","F","rep","Democrat","CongresswomanSinema",-0.107,"AZ",9
"S001192","M","rep","Republican","RepChrisStewart",0.519,"UT",2
"S001193","M","rep","Democrat","CongressmanEricSwalwell",-0.364,"CA",15
"S001194","M","sen","Democrat","SenBrianSchatz",-0.414,"HI",0
"S001195","M","rep","Republican","repjasonsmith",0.616,"MO",8
"S001196","F","rep","Republican","RepEliseStefanik",0.218,"NY",21
"S001197","M","sen","Republican","SenatorSasse",0.811,"NE",0
"S001198","M","sen","Republican","SenDanSullivan",0.465,"AK",0
"T000193","M","rep","Democrat","7259193379",-0.516,"MS",2
"T000238","M","rep","Republican","repmacthornberry",0.527,"TX",13
"T000250","M","sen","Republican",NA,0.41,"SD",0
"T000460","M","rep","Democrat","RepMikeThompson",-0.396,"CA",5
"T000461","M","sen","Republican","senatortoomey",0.638,"PA",0
"T000462","M","rep","Republican","RepPatTiberi",0.386,"OH",12
"T000463","M","rep","Republican","RepMikeTurner",0.266,"OH",10
"T000464","M","sen","Democrat","senatortester",-0.21,"MT",0
"T000465","F","rep","Democrat","RepTsongas",-0.396,"MA",3
"T000467","M","rep","Republican","CongressmanGT",0.307,"PA",5
"T000468","F","rep","Democrat","CongresswomanTitus",-0.3,"NV",1
"T000469","M","rep","Democrat","paul.tonko",-0.422,"NY",20
"T000470","M","rep","Republican","CongressmanScottTipton",0.454,"CO",3
"T000472","M","rep","Democrat","RepMarkTakano",-0.466,"CA",41
"T000474","F","rep","Democrat","RepNormaTorres",-0.357,"CA",35
"T000475","M","rep","Republican","CongressmanDaveTrott",0.37,"MI",11
"T000476","M","sen","Republican","SenatorThomTillis",0.426,"NC",0
"U000031","M","rep","Republican","RepFredUpton",0.339,"MI",6
"U000039","M","sen","Democrat","senatortomudall",-0.453,"NM",0
"V000081","F","rep","Democrat","8037068318",-0.547,"NY",7
"V000108","M","rep","Democrat","repvisclosky",-0.402,"IN",1
"V000127","M","sen","Republican",NA,0.495,"LA",0
"V000128","M","rep","Democrat","chrisvanhollen",-0.392,"MD",8
"V000129","M","rep","Republican","CongressmanDavidValadao",0.254,"CA",21
"V000130","M","rep","Democrat","RepJuanVargas",-0.396,"CA",51
"V000131","M","rep","Democrat","CongressmanMarcVeasey",-0.404,"TX",33
"V000132","M","rep","Democrat","USCongressmanFilemonVela",-0.312,"TX",34
"W000187","F","rep","Democrat","MaxineWaters",-0.655,"CA",43
"W000437","M","sen","Republican","SenatorWicker",0.377,"MS",0
"W000779","M","sen","Democrat",NA,-0.321,"OR",0
"W000791","M","rep","Republican","repgregwalden",0.339,"OR",2
"W000795","M","rep","Republican","JoeWilson",0.545,"SC",2
"W000796","M","rep","Republican","71389451419",0.672,"GA",3
"W000797","F","rep","Democrat","RepDWS",-0.423,"FL",23
"W000798","M","rep","Republican","RepWalberg",0.528,"MI",7
"W000799","M","rep","Democrat",NA,-0.275,"MN",1
"W000800","M","rep","Democrat","PeterWelch",-0.408,"VT",1
"W000802","M","sen","Democrat","SenatorWhitehouse",-0.397,"RI",0
"W000804","M","rep","Republican","RepRobWittman",0.426,"VA",1
"W000805","M","sen","Democrat","MarkRWarner",-0.194,"VA",0
"W000806","M","rep","Republican","RepWebster",0.484,"FL",10
"W000808","F","rep","Democrat","RepWilson",-0.475,"FL",24
"W000809","M","rep","Republican","RepSteveWomack",0.347,"AR",3
"W000810","M","rep","Republican","RepRobWoodall",0.647,"GA",7
"W000812","F","rep","Republican","RepAnnWagner",0.477,"MO",2
"W000813","F","rep","Republican","RepJackieWalorski",0.446,"IN",2
"W000814","M","rep","Republican","TXRandy14",0.697,"TX",14
"W000815","M","rep","Republican","RepBradWenstrup",0.578,"OH",2
"W000816","M","rep","Republican","RepRogerWilliams",0.605,"TX",25
"W000817","F","sen","Democrat","senatorelizabethwarren",-0.758,"MA",0
"W000819","M","rep","Republican","RepMarkWalker",0.618,"NC",6
"W000820","F","rep","Republican","RepMimiWalters",0.433,"CA",45
"W000821","M","rep","Republican","RepWesterman",0.547,"AR",4
"W000822","F","rep","Democrat","RepBonnieWatsonColeman",-0.646,"NJ",12
"Y000033","M","rep","Republican","RepDonYoung",0.279,"AK",1
"Y000062","M","rep","Democrat","214258646163",-0.378,"KY",3
"Y000063","M","rep","Republican","CongressmanKevinYoder",0.559,"KS",3
"Y000064","M","rep","Republican","RepToddYoung",0.483,"IN",9
"Y000065","M","rep","Republican","CongressmanTedYoho",0.7,"FL",3
"Y000066","M","rep","Republican","RepDavidYoung",0.443,"IA",3
"Z000017","M","rep","Republican","RepLeeZeldin",0.363,"NY",1
"Z000018","M","rep","Republican","CongressmanRyanZinke",0.412,"MT",1
