"id","likes_count","love_count","haha_count","wow_count","sad_count","angry_count"
"7259193379_10153650784543380",115,0,0,0,0,0
"7259193379_10153664820523380",60,0,0,0,0,0
"7259193379_10153665652193380",108,15,0,0,0,0
"7259193379_10153680712043380",30,1,0,0,0,0
"7259193379_10153696715678380",124,10,0,0,0,0
"7259193379_10153705686428380",14,1,0,0,1,0
"7259193379_10153711313028380",83,2,0,0,0,0
"7259193379_10153719664663380",47,2,0,0,0,0
"7259193379_10153723488838380",73,9,0,1,0,0
"7259193379_10153725700773380",75,3,0,0,0,0
"7259193379_10153737640033380",133,4,0,0,0,0
"7259193379_10153745779688380",76,1,0,0,0,0
"7259193379_10153750103903380",50,2,0,0,0,0
"7259193379_10153759606713380",19,2,0,0,0,0
"7259193379_10153763955638380",52,6,0,0,0,0
"7259193379_10153768573853380",81,3,0,0,0,0
"7259193379_10153768617843380",132,14,0,0,0,1
"7259193379_10153777864668380",142,2,0,1,0,0
"7259193379_10153777877333380",201,15,0,0,0,0
"7259193379_10153779049748380",24,0,0,1,0,0
"7259193379_10153781493998380",42,7,0,0,0,0
"7259193379_10153790813238380",17,2,0,0,0,1
"7259193379_10153795281273380",99,3,0,1,0,0
"7259193379_10153795434133380",94,8,0,0,1,1
"7259193379_10153795529243380",17,3,0,0,0,0
"7259193379_10153795573773380",402,46,2,1,0,2
"7259193379_10153795943113380",436,51,1,0,0,1
"7259193379_10153798222193380",43,4,0,0,0,0
"7259193379_10153807963188380",8,0,0,0,0,0
"7259193379_10153814436908380",16,1,0,0,0,0
"7259193379_10153838925543380",13,1,0,0,0,0
"7259193379_10153841187313380",39,2,0,1,0,0
"7259193379_10153843662448380",8,0,0,0,0,0
"7259193379_10153845618728380",30,0,0,0,0,0
"7259193379_10153846012718380",149,2,0,0,0,0
"7259193379_10153846362783380",20,0,0,0,0,0
"7259193379_10153854939983380",20,2,0,0,0,0
"7259193379_10153855030738380",96,9,0,0,6,0
"7259193379_10153855153978380",25,0,0,0,0,0
"7259193379_10153856885233380",31,1,0,0,0,0
"7259193379_10153857942953380",520,71,0,4,0,0
"7259193379_10153859039993380",15,0,0,1,0,1
"7259193379_10153859469333380",55,5,0,0,0,0
"7259193379_10153859521888380",18,0,0,0,0,0
"7259193379_10153871456988380",171,17,0,0,0,3
"7259193379_10153877041798380",20,0,0,0,0,0
"7259193379_10153909915748380",123,7,0,0,0,0
"7259193379_10153965720458380",52,0,0,1,0,0
"7259193379_10153980353443380",17,0,0,0,0,0
"7259193379_10153993419643380",16,0,0,0,0,0
"7259193379_10153993531013380",47,4,0,0,0,0
"7259193379_10153998992588380",30,1,0,0,0,0
"7259193379_10154002035098380",26,1,0,0,0,0
"7259193379_10154002757368380",96,15,0,0,0,0
"7259193379_10154002757473380",45,17,0,1,0,0
"7259193379_10154002775808380",10,0,0,0,0,0
"7259193379_10154002779238380",20,1,0,0,0,0
"7259193379_10154014721623380",120,9,0,0,0,0
"7259193379_10154017710223380",32,0,0,0,0,0
"7259193379_10154033000038380",35,1,0,0,0,0
"7259193379_10154033553263380",26,0,0,0,0,0
"7259193379_10154038271348380",6,0,0,0,0,0
"7259193379_10154051798248380",6,0,0,0,0,0
"7259193379_10154053575603380",32,1,0,0,0,0
"7259193379_10154053969073380",20,1,0,0,0,0
"7259193379_10154054013643380",24,4,0,0,0,0
"7259193379_10154054035678380",10,1,0,0,0,0
"7259193379_10154072666813380",20,1,0,0,0,0
"7259193379_10154079081473380",32,5,0,0,0,0
"7259193379_10154079087083380",26,4,0,0,0,0
"7259193379_10154079222603380",32,3,0,0,0,0
"7259193379_10154079794693380",41,3,0,0,0,0
"7259193379_10154079810203380",35,4,0,0,0,0
"7259193379_10154096665448380",67,0,0,0,0,0
"7259193379_10154102460998380",29,3,0,0,0,0
"7259193379_10154117052238380",72,1,0,0,0,0
"7259193379_10154117057858380",77,4,0,0,0,0
"7259193379_10154193549908380",43,0,0,0,1,0
"7259193379_10154226763523380",61,0,0,0,0,0
"7259193379_10154233840478380",129,9,0,0,0,0
"7259193379_10154262107423380",10,0,0,0,0,0
"7259193379_10154305496103380",98,6,0,0,0,0
